Model,Accuracy,Log Loss
Logistic Regression,0.472356935014549,1.0823247196575534
Decision Tree Classifier,0.3685741998060136,22.591209530827722
RandomForestClassifier,0.4267701260911736,1.7174963993421022
MultinomialNB,0.46459747817652763,1.0855046799902053
XGBClassifier,0.466537342386033,1.1482051074782926
LGBMClassifier,0.457807953443259,1.1585887427600305
CatBoostClassifier,0.478176527643065,1.0947005843141577
