iter	MultiClass
122	0.3048389917
123	0.3036086174
124	0.3019359636
125	0.3007292112
126	0.3002744194
127	0.299013603
128	0.2980686729
129	0.2974799676
130	0.295829107
131	0.2945406436
132	0.2929592099
133	0.2918707402
134	0.2902537227
135	0.2899254046
136	0.2888900755
137	0.2877979423
138	0.2865957305
139	0.2856603522
140	0.2833244186
141	0.2825151579
142	0.2809318109
143	0.2802126265
144	0.2793768052
145	0.2786632737
146	0.2784171232
147	0.2773145337
148	0.2772155487
149	0.2761822028
150	0.2747975603
151	0.2741085219
152	0.2735239459
153	0.272870909
154	0.2723106456
155	0.2708495772
156	0.2698973358
157	0.2692769832
158	0.2686381168
159	0.2685514084
160	0.2673359044
161	0.2667393128
162	0.2656238775
163	0.2653047624
164	0.264280939
165	0.2638732135
166	0.2629548813
167	0.2620174159
168	0.2612575569
169	0.2607420935
170	0.2604596572
171	0.2598780575
172	0.2597469487
173	0.2584908991
174	0.2578917174
175	0.2572229624
176	0.2562461029
177	0.2551309187
178	0.254846292
179	0.2544074722
180	0.2539129618
181	0.2533138147
182	0.2527033038
183	0.2519785797
184	0.2517327059
185	0.2512358144
186	0.2510612183
187	0.2506832892
188	0.2497053603
189	0.2496285132
190	0.2493426409
191	0.2490586255
192	0.2488720815
193	0.2484405358
194	0.2476400711
195	0.2472994502
196	0.2471529231
197	0.2461447481
198	0.2458972174
199	0.2454923915
200	0.2450683714
201	0.2445533767
202	0.243922459
203	0.2433529839
204	0.2429810968
205	0.2422827632
206	0.24219645
207	0.2410500405
208	0.2407617234
209	0.2406028317
210	0.2397754854
211	0.2390638721
212	0.2383361086
213	0.2377421351
214	0.2373782492
215	0.2373288943
216	0.2367190065
217	0.2362502422
218	0.2361600053
219	0.2360486965
220	0.2359539327
221	0.2354852229
222	0.2352426002
223	0.2349294938
224	0.2344280104
225	0.2342430858
226	0.2336104239
227	0.2332050364
228	0.2322637369
229	0.2319936698
230	0.2314235365
231	0.2305435573
232	0.2300412442
233	0.2296522912
234	0.2294766357
235	0.22938416
236	0.2290129976
237	0.2286890507
238	0.2279839813
239	0.2278705275
240	0.2273694615
241	0.2272547992
242	0.2270419888
243	0.2267626558
244	0.226591318
245	0.2262095448
246	0.2260328796
247	0.2255542034
248	0.22483558
249	0.2244593829
250	0.2242508429
251	0.2241691873
252	0.2234636314
253	0.2229480133
254	0.2227811454
255	0.2226606509
256	0.2221416235
257	0.2219261566
258	0.2210066875
259	0.2209341773
260	0.2208750129
261	0.2205847129
262	0.2198928479
263	0.2194614507
264	0.2194195925
265	0.2191403432
266	0.2190561843
267	0.2181222957
268	0.2177195495
269	0.2174659884
270	0.217288191
271	0.217230379
272	0.2170504823
273	0.2168177076
274	0.2166007914
275	0.2160405528
276	0.2159233346
277	0.2158131198
278	0.2155342277
279	0.2154883156
280	0.2149806327
281	0.2148976103
282	0.2148348637
283	0.2145432912
284	0.2135764947
285	0.2134216501
286	0.2132754666
287	0.2128810483
288	0.2126077626
289	0.2123748548
290	0.2121473933
291	0.2115815719
292	0.2114995038
293	0.2111277977
294	0.2106473985
295	0.2103920901
296	0.2101652266
297	0.2101035238
298	0.2098634764
299	0.209410821
300	0.2093102081
301	0.209069301
302	0.2085903562
303	0.2085098703
304	0.2083400391
305	0.2081622208
306	0.2081017096
307	0.2079291073
308	0.2077585046
309	0.2076484555
310	0.2075366589
311	0.2073768911
312	0.207311965
313	0.2071635311
314	0.2070921023
315	0.2069103948
316	0.2064835134
317	0.2064196224
318	0.2063337302
319	0.2062757432
320	0.2062181418
321	0.2056980529
322	0.2054466807
323	0.2053705158
324	0.2051030682
325	0.2044958103
326	0.2043680087
327	0.2038861119
328	0.2037993566
329	0.2034978276
330	0.2034487104
331	0.2033618038
332	0.2032839551
333	0.203227351
334	0.2031488174
335	0.2030791919
336	0.2029499839
337	0.2026193134
338	0.2025080292
339	0.2020754477
340	0.2018657305
341	0.2014187274
342	0.2013712539
343	0.2012892292
344	0.2010310989
345	0.2007007501
346	0.2006291641
347	0.2002758055
348	0.1997050996
349	0.1996443035
350	0.1993878906
351	0.1993000535
352	0.1990247613
353	0.1989616987
354	0.1986272901
355	0.1983279753
356	0.1981513501
357	0.1977219036
358	0.1973682007
359	0.1970573804
360	0.1969672645
361	0.1969120267
362	0.1968106342
363	0.196733127
364	0.196625143
365	0.196537631
366	0.1964640158
367	0.1963581762
368	0.1962231203
369	0.1961044988
370	0.1960621534
371	0.195786606
372	0.1954401961
373	0.1951595031
374	0.1948669656
375	0.1948197667
376	0.1942368781
377	0.193965642
378	0.1938005555
379	0.1937481148
380	0.1933039242
381	0.1930750023
382	0.1929990658
383	0.1923794103
384	0.1922733268
385	0.1921965818
386	0.1920055874
387	0.1918585585
388	0.1916020294
389	0.1913703205
390	0.1912768366
391	0.1912147588
392	0.1911138221
393	0.1908125094
394	0.1906864478
395	0.1903622169
396	0.1900133292
397	0.1899511949
398	0.1899073863
399	0.1895555348
400	0.1894870581
401	0.1893799042
402	0.1890412136
403	0.1889152623
404	0.1886316889
405	0.1883432692
406	0.1881210928
407	0.1879713821
408	0.1878554152
409	0.1877810922
410	0.1874209109
411	0.1872273763
412	0.1871737227
413	0.187030189
414	0.1869140551
415	0.1867210654
416	0.186668969
417	0.1865710161
418	0.1865223339
419	0.1863315025
420	0.1862464714
421	0.1861493554
422	0.1860848165
423	0.1856821659
424	0.1855360722
425	0.1854722321
426	0.1852563908
427	0.184844231
428	0.1845794315
429	0.1844281418
430	0.1843743918
431	0.1841797698
432	0.184122671
433	0.1840734576
434	0.1840280584
435	0.1839607966
436	0.1838021708
437	0.1837437697
438	0.1836981361
439	0.1835867047
440	0.1835050557
441	0.1834171469
442	0.1832675923
443	0.1829808208
444	0.1829264585
445	0.1827088197
446	0.1823432607
447	0.1822996798
448	0.1822484565
449	0.1819284582
450	0.1818836681
451	0.1815872
452	0.1815402257
453	0.181482052
454	0.1812978154
455	0.1812623115
456	0.1811520691
457	0.1810649117
458	0.180859685
459	0.180805579
460	0.1807525486
461	0.1807152388
462	0.180334449
463	0.1802618971
464	0.1800811306
465	0.1797992928
466	0.1797584139
467	0.1794215858
468	0.1793761126
469	0.1792254959
470	0.1785771929
471	0.1785087315
472	0.1784639985
473	0.1783748362
474	0.1783258666
475	0.178118955
476	0.1779109201
477	0.1778291468
478	0.1777885793
479	0.1775726
480	0.1772117968
481	0.1770283709
482	0.1767509041
483	0.176708529
484	0.1766656785
485	0.1766196155
486	0.1765792236
487	0.1764994786
488	0.1761627084
489	0.1756910043
490	0.1752422537
491	0.175192439
492	0.175074868
493	0.1748181241
494	0.1747777139
495	0.1745442918
496	0.1744532685
497	0.1744049403
498	0.1740984852
499	0.1740381548
500	0.1739460305
501	0.1738745141
502	0.1738184703
503	0.1734506513
504	0.1732517913
505	0.1727981833
506	0.1725567946
507	0.1725293713
508	0.1724758766
509	0.1724116024
510	0.1723698434
511	0.1722356308
512	0.172040795
513	0.1717895397
514	0.1717115858
515	0.1713438079
516	0.1712704257
517	0.1711834071
518	0.1711299037
519	0.1710846039
520	0.1706758358
521	0.1703758474
522	0.1703327502
523	0.1700173777
524	0.16986882
525	0.1698178734
526	0.1697650344
527	0.1697269244
528	0.1695046138
529	0.1693813619
530	0.1693291747
531	0.1692734337
532	0.1689986425
533	0.1689449453
534	0.1689047306
535	0.1686767911
536	0.1686205645
537	0.1681850073
538	0.1681448093
539	0.1681022246
540	0.1679068102
541	0.1677150595
542	0.1673752305
543	0.1670110389
544	0.1669629939
545	0.1667470125
546	0.1664629213
547	0.1664144232
548	0.1662067982
549	0.1661321444
550	0.1659859109
551	0.1659427032
552	0.165819675
553	0.1657649985
554	0.1653035797
555	0.1651746159
556	0.1650104847
557	0.1649785327
558	0.1649097856
559	0.1647715283
560	0.1646868594
561	0.1645671284
562	0.1643777961
563	0.164331713
564	0.1641898231
565	0.1641589563
566	0.1639906463
567	0.1638084666
568	0.163745023
569	0.1637009644
570	0.163645216
571	0.1635935196
572	0.1633995598
573	0.1633513225
574	0.1630512566
575	0.1629668299
576	0.1627769875
577	0.1627410594
578	0.1625345873
579	0.1624393316
580	0.1623960229
581	0.1620832034
582	0.1618621668
583	0.1617871653
584	0.1617552966
585	0.1615421592
586	0.1614890299
587	0.161228398
588	0.160723879
589	0.1606058177
590	0.1604813323
591	0.1602416124
592	0.160058711
593	0.1599703892
594	0.1597963472
595	0.1597570374
596	0.1595477571
597	0.1593475977
598	0.1591106866
599	0.159062074
600	0.1588854914
601	0.1587981082
602	0.1586987652
603	0.1586156727
604	0.1584709466
605	0.1580393125
606	0.158001154
607	0.1579626165
608	0.1575236277
609	0.1573857942
610	0.1570780692
611	0.1568036589
612	0.1567763201
613	0.1567142796
614	0.1566819577
615	0.1566411938
616	0.1565396198
617	0.1564531997
618	0.1563533019
619	0.1562881175
620	0.1562327786
621	0.1561554781
622	0.1561024442
623	0.1559742568
624	0.1556624294
625	0.1555376479
626	0.1554223801
627	0.1553753166
628	0.1553009203
629	0.1552310182
630	0.1551191553
631	0.154846252
632	0.1547806326
633	0.1546946729
634	0.1544042771
635	0.1543297161
636	0.1542932548
637	0.1540162252
638	0.1539814085
639	0.1539504228
640	0.1538004091
641	0.1535668669
642	0.153368348
643	0.1532005363
644	0.1531036255
645	0.152997576
646	0.1529604862
647	0.1525227816
648	0.1524888978
649	0.1524475157
650	0.1523636246
651	0.1522158663
652	0.1521903446
653	0.1521223241
654	0.1520479395
655	0.1520026926
656	0.1519524812
657	0.1514881763
658	0.1514328563
659	0.1512422928
660	0.1511925295
661	0.1511574617
662	0.1511077639
663	0.1510837146
664	0.1508937772
665	0.1508467022
666	0.1507728279
667	0.150677468
668	0.1506203869
669	0.1505908111
670	0.1504902952
671	0.1503196033
672	0.1502735953
673	0.1502268093
674	0.1501539037
675	0.1500723433
676	0.1500304695
677	0.150001999
678	0.1498882919
679	0.1494614492
680	0.149301073
681	0.1492482476
682	0.1492132251
683	0.1490860499
684	0.1490591959
685	0.1490362228
686	0.1488889419
687	0.1488559022
688	0.1488154387
689	0.1486893192
690	0.1486364334
691	0.1485065761
692	0.1482459507
693	0.1481659373
694	0.1480667565
695	0.1479530359
696	0.1479170479
697	0.1478111506
698	0.1477662177
699	0.147610996
700	0.1474625527
701	0.1474321851
702	0.147376756
703	0.1473325273
704	0.1472718987
705	0.1472285456
706	0.1468715162
707	0.1464192648
708	0.1463543253
709	0.1463048861
710	0.1462515181
711	0.1460698494
712	0.1459720332
713	0.1459230414
714	0.1458909634
715	0.1456879305
716	0.1453876086
717	0.145360008
718	0.1452500103
719	0.1451656107
720	0.1449207552
721	0.1448935306
722	0.1447730885
723	0.1447256113
724	0.1446873039
725	0.1446362411
726	0.1446017181
727	0.144574846
728	0.1443022094
729	0.1441805483
730	0.1439773162
731	0.1438614355
732	0.143765151
733	0.1436092913
734	0.1435420202
735	0.1434977676
736	0.1434132651
737	0.1432615636
738	0.1431369118
739	0.1428758789
740	0.1428504928
741	0.1427973191
742	0.1427699167
743	0.1427109634
744	0.1426114088
745	0.1424816538
746	0.1421888425
747	0.1419385183
748	0.1417914631
749	0.1415490546
750	0.1415279534
751	0.1414934382
752	0.1414545025
753	0.1414126218
754	0.141378265
755	0.1412381608
756	0.141210084
757	0.1407503464
758	0.1405363721
759	0.1403815451
760	0.1401731206
761	0.1401078061
762	0.1396960908
763	0.139668374
764	0.1395316218
765	0.1394782356
766	0.1394495541
767	0.1393156291
768	0.1392551899
769	0.1390512877
770	0.1389524991
771	0.13892865
772	0.138828103
773	0.1386395486
774	0.1385162668
775	0.138441907
776	0.1383971871
777	0.1382242138
778	0.1380081077
779	0.1378039713
780	0.1376642353
781	0.1376404985
782	0.1376124102
783	0.1375114587
784	0.1371952172
785	0.1371304732
786	0.1370170235
787	0.1368321928
788	0.1368094418
789	0.136714141
790	0.1366839445
791	0.1365495507
792	0.1364019547
793	0.136367806
794	0.1362238125
795	0.1361863824
796	0.1360663642
797	0.1360285498
798	0.1358282544
799	0.1357975699
800	0.1357372043
801	0.1357025132
802	0.1354508224
803	0.1354222895
804	0.1352752984
805	0.1352505382
806	0.1352162956
807	0.1351868165
808	0.135139708
809	0.1348659369
810	0.1348289379
811	0.1347978386
812	0.1347688374
813	0.1344929233
814	0.1344610002
815	0.1343447934
816	0.1342334611
817	0.1342053798
818	0.1341750981
819	0.1341454173
820	0.1338742715
821	0.1337832539
822	0.1334977033
823	0.1333960284
824	0.1333392085
825	0.1331071587
826	0.1330296352
827	0.132997313
828	0.1328102016
829	0.1326547612
830	0.1324674948
831	0.1322447619
832	0.1320463372
833	0.1320055003
834	0.1317113505
835	0.1316738867
836	0.1316480896
837	0.1316141978
838	0.1314269085
839	0.1312974372
840	0.1312660106
841	0.1312114941
842	0.1310741648
843	0.1309144558
844	0.1307837177
845	0.1305707248
846	0.1305460167
847	0.1304909661
848	0.130462823
849	0.1303363671
850	0.1300224484
851	0.1300014618
852	0.1299673486
853	0.1299425776
854	0.1298319091
855	0.1298122682
856	0.1297746072
857	0.1297488516
858	0.1297212952
859	0.129698322
860	0.1295241564
861	0.1294075304
862	0.1292319887
863	0.1290778579
864	0.1289768729
865	0.1289134391
866	0.1287291135
867	0.1285593388
868	0.1285034585
869	0.1284469041
870	0.1284121473
871	0.1283190156
872	0.128157426
873	0.127940902
874	0.1278645923
875	0.1277243777
876	0.1276238877
877	0.1275692617
878	0.1273507055
879	0.1272861063
880	0.1271222916
881	0.1270779077
882	0.126920365
883	0.1268984139
884	0.1268573083
885	0.1267544224
886	0.1265249275
887	0.1263746769
888	0.1263500119
889	0.126221994
890	0.1261682841
891	0.1261053988
892	0.1260787257
893	0.1260200279
894	0.1259999053
895	0.1259146651
896	0.1257880777
897	0.1255751012
898	0.1255456197
899	0.1255230081
900	0.1253841138
901	0.1253340812
902	0.1252955536
903	0.1250808506
904	0.1250411033
905	0.1249837235
906	0.1248719563
907	0.1247654738
908	0.1245499562
909	0.1245120419
910	0.1244925115
911	0.1243858269
912	0.124362178
913	0.1242427377
914	0.1240737375
915	0.123878905
916	0.1237829302
917	0.123697592
918	0.1236325391
919	0.1236054834
920	0.123571474
921	0.1233829142
922	0.1232675968
923	0.1232366266
924	0.1229220411
925	0.1227253369
926	0.1226879695
927	0.1226424957
928	0.1224690029
929	0.1223601631
930	0.1222000344
931	0.1221826126
932	0.1221116845
933	0.1220927269
934	0.122075394
935	0.1219168607
936	0.1217154264
937	0.121594138
938	0.1214549286
939	0.1214322432
940	0.1211972109
941	0.1210782798
942	0.120976714
943	0.1208333586
944	0.1207973205
945	0.1207645091
946	0.1206955483
947	0.1206557887
948	0.1206376417
949	0.1204460153
950	0.1203963077
951	0.1203702789
952	0.1203299526
953	0.1203041741
954	0.1201859536
955	0.1201184763
956	0.119957767
957	0.1197993571
958	0.1195304745
959	0.1193614513
960	0.1192175799
961	0.11901997
962	0.1188492171
963	0.1186689104
964	0.1185797016
965	0.1185227061
966	0.1184989557
967	0.1184769025
968	0.1181725897
969	0.1181191965
970	0.118022071
971	0.1179449394
972	0.1178625591
973	0.1178347689
974	0.117670128
975	0.1176051571
976	0.1175630352
977	0.1175429475
978	0.1175211564
979	0.1174009768
980	0.1173553624
981	0.1173085446
982	0.1172870939
983	0.1172327012
984	0.1171490675
985	0.1170386146
986	0.1169083863
987	0.1167086334
988	0.1166854125
989	0.1165836774
990	0.1164253864
991	0.1161448322
992	0.1160609972
993	0.1159264769
994	0.1159079285
995	0.1158766204
996	0.1158525493
997	0.1158336811
998	0.1157445055
999	0.1157162561
